disease,disease index,gene,gene index
acute promyelocytic leukemia,2,27,16
coronary artery disease,17,27,16
diabetes mellitus,19,27,16
prostate cancer,63,27,16
acute promyelocytic leukemia,2,28,17
alzheimer's disease,4,28,17
atherosclerosis,5,28,17
breast cancer,9,28,17
cardiovascular disease,10,28,17
colon cancer,15,28,17
coronary artery disease,17,28,17
diabetes mellitus,19,28,17
essential hypertension,25,28,17
gastric cancer,26,28,17
glioblastoma,28,28,17
glioblastoma multiforme,29,28,17
heart disease,31,28,17
hepatocellular carcinoma,34,28,17
hirschsprung disease,35,28,17
hypertension,36,28,17
hypertrophic cardiomyopathy,37,28,17
multiple sclerosis,48,28,17
myocardial infarction,50,28,17
pancreatic ductal adenocarcinoma,59,28,17
rheumatoid arthritis,65,28,17
atherosclerosis,5,29,18
prostate cancer,63,29,18
atherosclerosis,5,30,19
diabetes mellitus,19,30,19
alzheimer's disease,4,31,20
atherosclerosis,5,31,20
cardiovascular disease,10,31,20
coronary artery disease,17,31,20
diabetes mellitus,19,31,20
essential hypertension,25,31,20
glioblastoma,28,31,20
glioblastoma multiforme,29,31,20
glioma,30,31,20
heart disease,31,31,20
hypertension,36,31,20
hypertrophic cardiomyopathy,37,31,20
major depressive disorder,46,31,20
myocardial infarction,50,31,20
nonalcoholic steatohepatitis,52,31,20
rheumatoid arthritis,65,31,20
tuberculosis,69,31,20
coronary artery disease,17,32,21
diabetes mellitus,19,32,21
glioblastoma,28,32,21
glioblastoma multiforme,29,32,21
heart disease,31,32,21
myocardial infarction,50,32,21
pancreatic ductal adenocarcinoma,59,32,21
hypertrophic cardiomyopathy,37,33,22
coronary artery disease,17,35,23
heart disease,31,35,23
leukoaraiosis,41,35,23
diabetes mellitus,19,36,24
essential hypertension,25,36,24
hypertension,36,36,24
alzheimer's disease,4,37,25
hypertrophic cardiomyopathy,37,37,25
alzheimer's disease,4,38,26
atherosclerosis,5,38,26
cardiovascular disease,10,38,26
coronary artery disease,17,38,26
diabetes mellitus,19,38,26
glioblastoma,28,38,26
glioblastoma multiforme,29,38,26
glioma,30,38,26
heart disease,31,38,26
hepatocellular carcinoma,34,38,26
nonalcoholic steatohepatitis,52,38,26
coronary artery disease,17,39,27
heart disease,31,39,27
alzheimer's disease,4,40,28
glioblastoma,28,40,28
glioblastoma multiforme,29,40,28
glioma,30,40,28
major depressive disorder,46,40,28
multiple sclerosis,48,40,28
diabetes mellitus,19,41,29
glioblastoma,28,41,29
glioblastoma multiforme,29,41,29
hypertension,36,41,29
multiple sclerosis,48,41,29
rheumatoid arthritis,65,41,29
alzheimer's disease,4,43,30
atherosclerosis,5,43,30
cardiovascular disease,10,43,30
coronary artery disease,17,43,30
diabetes mellitus,19,43,30
heart disease,31,43,30
hirschsprung disease,35,43,30
hypertension,36,43,30
major depressive disorder,46,43,30
multiple sclerosis,48,43,30
myocardial infarction,50,43,30
atherosclerosis,5,47,31
cardiovascular disease,10,47,31
diabetes mellitus,19,47,31
glioma,30,47,31
osteoarthritis,55,47,31
osteosarcoma,56,47,31
alzheimer's disease,4,48,32
nonalcoholic steatohepatitis,52,48,32
coronary artery disease,17,49,33
diabetes mellitus,19,49,33
diabetic retinopathy,20,49,33
heart disease,31,49,33
hypertension,36,49,33
lupus nephritis,45,49,33
major depressive disorder,46,49,33
osteoarthritis,55,49,33
pancreatic ductal adenocarcinoma,59,49,33
rheumatoid arthritis,65,49,33
systemic lupus erythematosus,67,49,33
tuberculosis,69,49,33
alzheimer's disease,4,50,34
multiple sclerosis,48,50,34
diabetes mellitus,19,51,35
hepatic steatosis,32,51,35
atherosclerosis,5,52,36
cardiovascular disease,10,52,36
coronary artery disease,17,52,36
diabetes mellitus,19,52,36
diabetic retinopathy,20,52,36
glioblastoma,28,52,36
glioblastoma multiforme,29,52,36
heart disease,31,52,36
major depressive disorder,46,52,36
prostate cancer,63,52,36
rheumatoid arthritis,65,52,36
tuberculosis,69,52,36
atherosclerosis,5,54,37
coronary artery disease,17,54,37
diabetes mellitus,19,54,37
heart disease,31,54,37
osteoarthritis,55,54,37
rheumatoid arthritis,65,54,37
alzheimer's disease,4,55,38
atherosclerosis,5,55,38
cervical cancer,11,55,38
cholangiocarcinoma,13,55,38
diabetes mellitus,19,55,38
glioblastoma,28,55,38
glioblastoma multiforme,29,55,38
glioma,30,55,38
hypertension,36,55,38
papillary thyroid carcinoma,60,55,38
prostate cancer,63,55,38
hypertrophic cardiomyopathy,37,58,39
atherosclerosis,5,59,40
coronary artery disease,17,59,40
heart disease,31,59,40
hypertension,36,59,40
hypertrophic cardiomyopathy,37,59,40
lung adenocarcinoma,43,59,40
lung cancer,44,59,40
moyamoya disease,47,59,40
myocardial infarction,50,59,40
osteosarcoma,56,59,40
rheumatoid arthritis,65,59,40
acute promyelocytic leukemia,2,60,41
alzheimer's disease,4,60,41
atherosclerosis,5,60,41
basal cell carcinoma,6,60,41
bladder cancer,7,60,41
breast cancer,9,60,41
cardiovascular disease,10,60,41
cervical cancer,11,60,41
cervical carcinoma,12,60,41
cholangiocarcinoma,13,60,41
colorectal cancer,16,60,41
coronary artery disease,17,60,41
diabetes mellitus,19,60,41
dilated cardiomyopathy,21,60,41
glioblastoma,28,60,41
glioblastoma multiforme,29,60,41
glioma,30,60,41
heart disease,31,60,41
hepatoblastoma,33,60,41
hirschsprung disease,35,60,41
hypertension,36,60,41
hypertrophic cardiomyopathy,37,60,41
intervertebral disc degeneration,40,60,41
lupus nephritis,45,60,41
moyamoya disease,47,60,41
multiple sclerosis,48,60,41
myocardial infarction,50,60,41
osteosarcoma,56,60,41
pancreatic ductal adenocarcinoma,59,60,41
prostate cancer,63,60,41
rheumatoid arthritis,65,60,41
tuberculosis,69,60,41
dilated cardiomyopathy,21,70,42
gastric cancer,26,70,42
glioblastoma,28,70,42
glioblastoma multiforme,29,70,42
glioma,30,70,42
heart disease,31,70,42
hypertrophic cardiomyopathy,37,70,42
alzheimer's disease,4,71,43
colon cancer,15,71,43
colorectal cancer,16,71,43
coronary artery disease,17,71,43
diabetes mellitus,19,71,43
glioblastoma,28,71,43
glioblastoma multiforme,29,71,43
glioma,30,71,43
heart disease,31,71,43
hypertension,36,71,43
multiple sclerosis,48,71,43
myocardial infarction,50,71,43
rheumatoid arthritis,65,71,43
tuberculosis,69,71,43
alzheimer's disease,4,72,44
colon cancer,15,72,44
colorectal cancer,16,72,44
diabetes mellitus,19,72,44
glioblastoma,28,72,44
glioblastoma multiforme,29,72,44
glioma,30,72,44
hirschsprung disease,35,72,44
hypertension,36,72,44
multiple sclerosis,48,72,44
myocardial infarction,50,72,44
osteosarcoma,56,72,44
pre-eclampsia,61,72,44
rheumatoid arthritis,65,72,44
tuberculosis,69,72,44
cervical cancer,11,81,45
diabetes mellitus,19,81,45
glioblastoma,28,81,45
glioblastoma multiforme,29,81,45
glioma,30,81,45
hypertension,36,81,45
lupus nephritis,45,81,45
osteosarcoma,56,81,45
acute promyelocytic leukemia,2,86,46
glioma,30,86,46
osteosarcoma,56,86,46
rheumatoid arthritis,65,87,47
dilated cardiomyopathy,21,88,48
heart disease,31,88,48
hypertrophic cardiomyopathy,37,88,48
cervical cancer,11,90,49
glioma,30,90,49
heart disease,31,90,49
glioma,30,91,50
myocardial infarction,50,91,50
breast cancer,9,92,51
colorectal cancer,16,92,51
pre-eclampsia,61,92,51
diabetes mellitus,19,93,52
alzheimer's disease,4,94,53
cardiovascular disease,10,94,53
essential hypertension,25,94,53
hypertension,36,94,53
pancreatic ductal adenocarcinoma,59,94,53
cardiovascular disease,10,98,54
glioma,30,98,54
osteosarcoma,56,98,54
alzheimer's disease,4,100,55
atherosclerosis,5,100,55
cardiovascular disease,10,100,55
coronary artery disease,17,100,55
diabetes mellitus,19,100,55
essential hypertension,25,100,55
glioblastoma,28,100,55
glioblastoma multiforme,29,100,55
glioma,30,100,55
heart disease,31,100,55
hypertension,36,100,55
multiple sclerosis,48,100,55
myocardial infarction,50,100,55
pancreatic ductal adenocarcinoma,59,100,55
pre-eclampsia,61,100,55
rheumatoid arthritis,65,100,55
tuberculosis,69,100,55
atherosclerosis,5,101,56
cardiovascular disease,10,101,56
coronary artery disease,17,101,56
glioblastoma,28,101,56
glioblastoma multiforme,29,101,56
myocardial infarction,50,101,56
pancreatic ductal adenocarcinoma,59,101,56
rheumatoid arthritis,65,101,56
alzheimer's disease,4,102,57
atherosclerosis,5,102,57
cardiovascular disease,10,102,57
cervical cancer,11,102,57
coronary artery disease,17,102,57
diabetes mellitus,19,102,57
glioblastoma,28,102,57
glioblastoma multiforme,29,102,57
glioma,30,102,57
heart disease,31,102,57
myocardial infarction,50,102,57
rheumatoid arthritis,65,102,57
atherosclerosis,5,103,58
cervical cancer,11,103,58
coronary artery disease,17,103,58
diabetes mellitus,19,103,58
glioblastoma,28,103,58
glioma,30,103,58
heart disease,31,103,58
hypertrophic cardiomyopathy,37,103,58
major depressive disorder,46,103,58
rheumatoid arthritis,65,103,58
alzheimer's disease,4,104,59
diabetes mellitus,19,104,59
glioblastoma,28,104,59
glioblastoma multiforme,29,104,59
glioma,30,104,59
heart disease,31,104,59
hirschsprung disease,35,104,59
major depressive disorder,46,104,59
glioblastoma,28,105,60
glioblastoma multiforme,29,105,60
glioma,30,105,60
papillary thyroid carcinoma,60,107,61
alzheimer's disease,4,108,62
glioma,30,108,62
diabetes mellitus,19,109,63
major depressive disorder,46,109,63
diabetes mellitus,19,111,64
major depressive disorder,46,111,64
acute myeloid leukemia,1,113,65
acute promyelocytic leukemia,2,113,65
diabetes mellitus,19,113,65
major depressive disorder,46,113,65
atherosclerosis,5,114,66
diabetes mellitus,19,114,66
glioma,30,114,66
acute promyelocytic leukemia,2,115,67
atherosclerosis,5,115,67
cardiovascular disease,10,115,67
alzheimer's disease,4,116,68
atherosclerosis,5,116,68
cervical cancer,11,116,68
diabetes mellitus,19,116,68
diabetic retinopathy,20,116,68
essential hypertension,25,116,68
glioblastoma,28,116,68
glioblastoma multiforme,29,116,68
glioma,30,116,68
hypertension,36,116,68
major depressive disorder,46,116,68
multiple sclerosis,48,116,68
osteoarthritis,55,116,68
papillary thyroid carcinoma,60,116,68
atherosclerosis,5,117,69
glioblastoma,28,117,69
glioblastoma multiforme,29,117,69
glioma,30,117,69
hypertension,36,117,69
major depressive disorder,46,117,69
pancreatic ductal adenocarcinoma,59,117,69
papillary thyroid carcinoma,60,117,69
rheumatoid arthritis,65,117,69
atherosclerosis,5,118,70
cardiovascular disease,10,118,70
coronary artery disease,17,118,70
diabetes mellitus,19,118,70
essential hypertension,25,118,70
heart disease,31,118,70
hypertension,36,118,70
myocardial infarction,50,118,70
diabetes mellitus,19,119,71
essential hypertension,25,119,71
hypertension,36,119,71
lupus nephritis,45,119,71
alzheimer's disease,4,120,72
glioblastoma,28,120,72
glioblastoma multiforme,29,120,72
heart disease,31,120,72
alzheimer's disease,4,123,73
atherosclerosis,5,123,73
basal cell carcinoma,6,123,73
coronary artery disease,17,123,73
diabetes mellitus,19,123,73
gastric cancer,26,123,73
pancreatic ductal adenocarcinoma,59,123,73
heart disease,31,124,74
nonalcoholic steatohepatitis,52,124,74
alzheimer's disease,4,125,75
atherosclerosis,5,125,75
cardiovascular disease,10,125,75
coronary artery disease,17,125,75
diabetes mellitus,19,125,75
heart disease,31,125,75
intervertebral disc degeneration,40,125,75
myocardial infarction,50,125,75
nonalcoholic steatohepatitis,52,125,75
cardiovascular disease,10,126,76
coronary artery disease,17,126,76
diabetes mellitus,19,126,76
heart disease,31,126,76
hepatocellular carcinoma,34,126,76
myocardial infarction,50,126,76
nonalcoholic steatohepatitis,52,126,76
nonalcoholic steatohepatitis,52,127,77
tuberculosis,69,127,77
atherosclerosis,5,128,78
diabetes mellitus,19,128,78
myocardial infarction,50,128,78
alzheimer's disease,4,130,79
atherosclerosis,5,132,80
cardiovascular disease,10,132,80
diabetes mellitus,19,132,80
glioma,30,132,80
tuberculosis,69,132,80
alzheimer's disease,4,133,81
atherosclerosis,5,133,81
cardiovascular disease,10,133,81
cervical cancer,11,133,81
coronary artery disease,17,133,81
diabetes mellitus,19,133,81
diabetic retinopathy,20,133,81
essential hypertension,25,133,81
glioblastoma,28,133,81
glioblastoma multiforme,29,133,81
glioma,30,133,81
heart disease,31,133,81
hypertension,36,133,81
hypertrophic cardiomyopathy,37,133,81
lupus nephritis,45,133,81
multiple sclerosis,48,133,81
myocardial infarction,50,133,81
osteosarcoma,56,133,81
pancreatic ductal adenocarcinoma,59,133,81
pre-eclampsia,61,133,81
rheumatoid arthritis,65,133,81
alzheimer's disease,4,134,82
diabetes mellitus,19,134,82
essential hypertension,25,134,82
glioma,30,134,82
hypertension,36,134,82
myocardial infarction,50,134,82
alzheimer's disease,4,135,83
coronary artery disease,17,135,83
diabetes mellitus,19,135,83
essential hypertension,25,135,83
glioma,30,135,83
hypertension,36,135,83
nonalcoholic steatohepatitis,52,135,83
rheumatoid arthritis,65,135,83
diabetes mellitus,19,136,84
hypertension,36,136,84
myocardial infarction,50,136,84
pre-eclampsia,61,136,84
coronary artery disease,17,140,85
diabetes mellitus,19,140,85
heart disease,31,140,85
myocardial infarction,50,140,85
osteosarcoma,56,140,85
rheumatoid arthritis,65,140,85
acute myeloid leukemia,1,142,86
alzheimer's disease,4,142,86
atherosclerosis,5,142,86
breast cancer,9,142,86
cardiovascular disease,10,142,86
cervical cancer,11,142,86
cervical carcinoma,12,142,86
cholangiocarcinoma,13,142,86
colorectal cancer,16,142,86
coronary artery disease,17,142,86
diabetes mellitus,19,142,86
diabetic retinopathy,20,142,86
glioblastoma,28,142,86
glioblastoma multiforme,29,142,86
glioma,30,142,86
heart disease,31,142,86
hepatoblastoma,33,142,86
hypertension,36,142,86
lung cancer,44,142,86
multiple sclerosis,48,142,86
myocardial infarction,50,142,86
non-small cell lung cancer,53,142,86
osteosarcoma,56,142,86
pancreatic ductal adenocarcinoma,59,142,86
papillary thyroid carcinoma,60,142,86
prostate cancer,63,142,86
rheumatoid arthritis,65,142,86
esophageal squamous cell carcinoma,24,146,87
tuberculosis,69,146,87
essential hypertension,25,147,88
hypertension,36,147,88
alzheimer's disease,4,148,89
atherosclerosis,5,148,89
basal cell carcinoma,6,148,89
cardiovascular disease,10,148,89
diabetes mellitus,19,148,89
essential hypertension,25,148,89
glioblastoma,28,148,89
glioblastoma multiforme,29,148,89
glioma,30,148,89
heart disease,31,148,89
hirschsprung disease,35,148,89
hypertension,36,148,89
major depressive disorder,46,148,89
multiple sclerosis,48,148,89
myocardial infarction,50,148,89
pancreatic ductal adenocarcinoma,59,148,89
papillary thyroid carcinoma,60,148,89
prostate cancer,63,148,89
rheumatoid arthritis,65,148,89
alzheimer's disease,4,150,90
bladder cancer,7,150,90
cardiovascular disease,10,150,90
coronary artery disease,17,150,90
diabetes mellitus,19,150,90
heart disease,31,150,90
major depressive disorder,46,150,90
myocardial infarction,50,150,90
nonalcoholic steatohepatitis,52,150,90
alzheimer's disease,4,151,91
atherosclerosis,5,151,91
basal cell carcinoma,6,151,91
cardiovascular disease,10,151,91
coronary artery disease,17,151,91
diabetes mellitus,19,151,91
essential hypertension,25,151,91
glioblastoma,28,151,91
glioblastoma multiforme,29,151,91
glioma,30,151,91
heart disease,31,151,91
hirschsprung disease,35,151,91
hypertension,36,151,91
major depressive disorder,46,151,91
multiple sclerosis,48,151,91
myocardial infarction,50,151,91
pancreatic ductal adenocarcinoma,59,151,91
papillary thyroid carcinoma,60,151,91
prostate cancer,63,151,91
rheumatoid arthritis,65,151,91
major depressive disorder,46,152,92
alzheimer's disease,4,153,93
cardiovascular disease,10,153,93
coronary artery disease,17,153,93
diabetes mellitus,19,153,93
essential hypertension,25,153,93
gastric cancer,26,153,93
heart disease,31,153,93
hypertension,36,153,93
hypertrophic cardiomyopathy,37,153,93
infantile hemangioma,39,153,93
major depressive disorder,46,153,93
myocardial infarction,50,153,93
alzheimer's disease,4,154,94
atherosclerosis,5,154,94
breast cancer,9,154,94
cardiovascular disease,10,154,94
coronary artery disease,17,154,94
diabetes mellitus,19,154,94
essential hypertension,25,154,94
gastric cancer,26,154,94
glioma,30,154,94
heart disease,31,154,94
hypertension,36,154,94
infantile hemangioma,39,154,94
multiple sclerosis,48,154,94
myocardial infarction,50,154,94
osteosarcoma,56,154,94
pancreatic ductal adenocarcinoma,59,154,94
pre-eclampsia,61,154,94
prostate cancer,63,154,94
rheumatoid arthritis,65,154,94
tuberculosis,69,154,94
atherosclerosis,5,155,95
bladder cancer,7,155,95
cardiovascular disease,10,155,95
coronary artery disease,17,155,95
diabetes mellitus,19,155,95
diabetic retinopathy,20,155,95
essential hypertension,25,155,95
heart disease,31,155,95
hypertension,36,155,95
major depressive disorder,46,155,95
myocardial infarction,50,155,95
nonalcoholic steatohepatitis,52,155,95
pre-eclampsia,61,155,95
rheumatoid arthritis,65,155,95
alzheimer's disease,4,156,96
bladder cancer,7,156,96
cardiovascular disease,10,156,96
diabetes mellitus,19,156,96
heart disease,31,156,96
hypertension,36,156,96
major depressive disorder,46,156,96
multiple sclerosis,48,156,96
myocardial infarction,50,156,96
osteosarcoma,56,156,96
rheumatoid arthritis,65,156,96
cardiovascular disease,10,157,97
glioblastoma,28,157,97
glioblastoma multiforme,29,157,97
heart disease,31,157,97
pancreatic ductal adenocarcinoma,59,157,97
diabetes mellitus,19,158,98
glioma,30,158,98
major depressive disorder,46,158,98
tuberculosis,69,158,98
atherosclerosis,5,160,99
cholangiocarcinoma,13,160,99
glioma,30,160,99
pancreatic ductal adenocarcinoma,59,160,99
papillary thyroid carcinoma,60,160,99
alzheimer's disease,4,161,100
coronary artery disease,17,161,100
heart disease,31,161,100
alzheimer's disease,4,165,101
glioblastoma,28,165,101
glioblastoma multiforme,29,165,101
glioma,30,165,101
nonalcoholic steatohepatitis,52,165,101
alzheimer's disease,4,166,102
diabetes mellitus,19,166,102
prostate cancer,63,166,102
diabetes mellitus,19,173,103
hypertension,36,173,103
papillary thyroid carcinoma,60,173,103
cholangiocarcinoma,13,174,104
diabetes mellitus,19,174,104
gastric cancer,26,174,104
glioma,30,174,104
hepatoblastoma,33,174,104
hepatocellular carcinoma,34,174,104
hypertension,36,174,104
multiple sclerosis,48,174,104
nonalcoholic steatohepatitis,52,174,104
rheumatoid arthritis,65,174,104
acne,0,175,105
diabetes mellitus,19,175,105
lupus nephritis,45,175,105
multiple sclerosis,48,175,105
myocardial infarction,50,175,105
tuberculosis,69,175,105
atherosclerosis,5,176,106
cardiovascular disease,10,176,106
diabetes mellitus,19,176,106
intervertebral disc degeneration,40,176,106
osteoarthritis,55,176,106
rheumatoid arthritis,65,176,106
alzheimer's disease,4,177,107
atherosclerosis,5,177,107
cardiovascular disease,10,177,107
cervical cancer,11,177,107
coronary artery disease,17,177,107
diabetes mellitus,19,177,107
diabetic retinopathy,20,177,107
essential hypertension,25,177,107
glioma,30,177,107
heart disease,31,177,107
hypertension,36,177,107
lung cancer,44,177,107
lupus nephritis,45,177,107
multiple sclerosis,48,177,107
myocardial infarction,50,177,107
nonalcoholic steatohepatitis,52,177,107
non-small cell lung cancer,53,177,107
osteoarthritis,55,177,107
osteosarcoma,56,177,107
prostate cancer,63,177,107
rheumatoid arthritis,65,177,107
tuberculosis,69,177,107
acute promyelocytic leukemia,2,178,108
atherosclerosis,5,181,109
cardiovascular disease,10,181,109
diabetes mellitus,19,181,109
glioblastoma,28,181,109
glioblastoma multiforme,29,181,109
glioma,30,181,109
myocardial infarction,50,181,109
tuberculosis,69,181,109
acute promyelocytic leukemia,2,182,110
alzheimer's disease,4,182,110
atherosclerosis,5,182,110
bladder cancer,7,182,110
breast cancer,9,182,110
cervical cancer,11,182,110
diabetes mellitus,19,182,110
diabetic retinopathy,20,182,110
glioblastoma,28,182,110
glioblastoma multiforme,29,182,110
glioma,30,182,110
heart disease,31,182,110
infantile hemangioma,39,182,110
moyamoya disease,47,182,110
multiple sclerosis,48,182,110
myocardial infarction,50,182,110
osteoarthritis,55,182,110
osteosarcoma,56,182,110
papillary thyroid carcinoma,60,182,110
prostate cancer,63,182,110
rheumatoid arthritis,65,182,110
alzheimer's disease,4,183,111
atherosclerosis,5,183,111
basal cell carcinoma,6,183,111
bladder cancer,7,183,111
cardiovascular disease,10,183,111
coronary artery disease,17,183,111
diabetes mellitus,19,183,111
diabetic retinopathy,20,183,111
essential hypertension,25,183,111
glioblastoma,28,183,111
glioblastoma multiforme,29,183,111
heart disease,31,183,111
hepatoblastoma,33,183,111
hypertension,36,183,111
hypertrophic cardiomyopathy,37,183,111
infantile hemangioma,39,183,111
lupus nephritis,45,183,111
major depressive disorder,46,183,111
multiple sclerosis,48,183,111
myocardial infarction,50,183,111
neuropathic pain,51,183,111
osteoarthritis,55,183,111
osteosarcoma,56,183,111
pre-eclampsia,61,183,111
prostate cancer,63,183,111
rheumatoid arthritis,65,183,111
silicosis,66,183,111
tuberculosis,69,183,111
alzheimer's disease,4,185,112
atherosclerosis,5,185,112
basal cell carcinoma,6,185,112
cardiovascular disease,10,185,112
coronary artery disease,17,185,112
diabetes mellitus,19,185,112
diabetic retinopathy,20,185,112
essential hypertension,25,185,112
heart disease,31,185,112
hepatoblastoma,33,185,112
hypertension,36,185,112
hypertrophic cardiomyopathy,37,185,112
infantile hemangioma,39,185,112
lupus nephritis,45,185,112
multiple sclerosis,48,185,112
myocardial infarction,50,185,112
nonalcoholic steatohepatitis,52,185,112
osteoarthritis,55,185,112
osteosarcoma,56,185,112
pre-eclampsia,61,185,112
rheumatoid arthritis,65,185,112
silicosis,66,185,112
acute promyelocytic leukemia,2,186,113
alzheimer's disease,4,186,113
atherosclerosis,5,186,113
basal cell carcinoma,6,186,113
cardiovascular disease,10,186,113
coronary artery disease,17,186,113
diabetes mellitus,19,186,113
essential hypertension,25,186,113
gastric cancer,26,186,113
heart disease,31,186,113
hypertension,36,186,113
hypertrophic cardiomyopathy,37,186,113
myocardial infarction,50,186,113
pancreatic ductal adenocarcinoma,59,186,113
pre-eclampsia,61,186,113
rheumatoid arthritis,65,186,113
tuberculosis,69,186,113
atherosclerosis,5,187,114
cardiovascular disease,10,187,114
cholangiocarcinoma,13,187,114
coronary artery disease,17,187,114
diabetes mellitus,19,187,114
diabetic retinopathy,20,187,114
essential hypertension,25,187,114
glioblastoma,28,187,114
glioblastoma multiforme,29,187,114
glioma,30,187,114
heart disease,31,187,114
hypertension,36,187,114
myocardial infarction,50,187,114
osteosarcoma,56,187,114
pre-eclampsia,61,187,114
atherosclerosis,5,189,115
glioblastoma,28,189,115
glioblastoma multiforme,29,189,115
alzheimer's disease,4,190,116
atherosclerosis,5,190,116
breast cancer,9,190,116
cardiovascular disease,10,190,116
cervical cancer,11,190,116
papillary thyroid carcinoma,60,190,116
atherosclerosis,5,191,117
glioblastoma,28,191,117
glioblastoma multiforme,29,191,117
lupus nephritis,45,191,117
nonalcoholic steatohepatitis,52,191,117
tuberculosis,69,191,117
diabetes mellitus,19,192,118
acne,0,196,119
acute promyelocytic leukemia,2,196,119
alzheimer's disease,4,196,119
atherosclerosis,5,196,119
breast cancer,9,196,119
cardiovascular disease,10,196,119
coronary artery disease,17,196,119
diabetes mellitus,19,196,119
essential hypertension,25,196,119
gastric cancer,26,196,119
glioblastoma,28,196,119
glioblastoma multiforme,29,196,119
glioma,30,196,119
heart disease,31,196,119
hepatoblastoma,33,196,119
hypertension,36,196,119
major depressive disorder,46,196,119
multiple sclerosis,48,196,119
myocardial infarction,50,196,119
nonalcoholic steatohepatitis,52,196,119
osteosarcoma,56,196,119
pancreatic cancer,58,196,119
papillary thyroid carcinoma,60,196,119
prostate cancer,63,196,119
rheumatoid arthritis,65,196,119
silicosis,66,196,119
tuberculosis,69,196,119
alzheimer's disease,4,197,120
atherosclerosis,5,197,120
cardiovascular disease,10,197,120
cholangiocarcinoma,13,197,120
coronary artery disease,17,197,120
diabetes mellitus,19,197,120
diabetic retinopathy,20,197,120
glioblastoma,28,197,120
glioblastoma multiforme,29,197,120
heart disease,31,197,120
hypertension,36,197,120
multiple sclerosis,48,197,120
myocardial infarction,50,197,120
rheumatoid arthritis,65,197,120
alzheimer's disease,4,199,121
atherosclerosis,5,199,121
cervical cancer,11,199,121
diabetes mellitus,19,199,121
diabetic retinopathy,20,199,121
glioblastoma,28,199,121
glioblastoma multiforme,29,199,121
glioma,30,199,121
multiple sclerosis,48,199,121
osteoarthritis,55,199,121
rheumatoid arthritis,65,199,121
diabetes mellitus,19,203,122
myocardial infarction,50,203,122
